episode: 310, env_step_num = 28762, score = -104.60216340737948
episode: 311, env_step_num = 28888, score = -109.68837336913703
episode: 312, env_step_num = 28969, score = -128.08635777765267
episode: 313, env_step_num = 29049, score = -260.49745159951567
episode: 314, env_step_num = 29170, score = -280.84604051444364
episode: 315, env_step_num = 29245, score = -121.57626687838068
episode: 316, env_step_num = 29374, score = -399.80091460816845
episode: 317, env_step_num = 29480, score = -108.06149814582037
episode: 318, env_step_num = 29549, score = -213.99590966065838
episode: 319, env_step_num = 29652, score = -132.7310891764493
episode: 320, env_step_num = 29756, score = -405.1780170863988
episode: 321, env_step_num = 29820, score = -150.9604787458141
episode: 322, env_step_num = 29939, score = -340.4693957763758
episode: 323, env_step_num = 30019, score = -118.29522771897655
episode: 324, env_step_num = 30118, score = -89.54070803569202
episode: 325, env_step_num = 30226, score = -136.95837527297903
episode: 326, env_step_num = 30327, score = -92.67577072087423
episode: 327, env_step_num = 30451, score = -153.73599049560707
episode: 328, env_step_num = 30522, score = -191.80388326181466
episode: 329, env_step_num = 30613, score = -312.47490065735724
episode: 330, env_step_num = 30730, score = -309.5164207049753
episode: 331, env_step_num = 30804, score = -101.06559185787076
episode: 332, env_step_num = 30929, score = -131.9305670113855
episode: 333, env_step_num = 31030, score = -218.87732276381269
episode: 334, env_step_num = 31150, score = -205.92005666845134
episode: 335, env_step_num = 31273, score = -192.8550914596796
episode: 336, env_step_num = 31349, score = -257.35393434063275
episode: 337, env_step_num = 31446, score = -109.5031952374133
episode: 338, env_step_num = 31563, score = -352.24161693304546
episode: 339, env_step_num = 31649, score = -137.06860143320077
episode: 340, env_step_num = 31774, score = -164.3074367181544
episode: 341, env_step_num = 31878, score = -327.23648460502096
episode: 342, env_step_num = 31992, score = -197.01353118956325
episode: 343, env_step_num = 32106, score = -107.90075210474608
episode: 344, env_step_num = 32175, score = -178.515256921652
episode: 345, env_step_num = 32276, score = -369.7505967481603
episode: 346, env_step_num = 32380, score = -272.04693417083877
episode: 347, env_step_num = 32479, score = -308.6700531865142
episode: 348, env_step_num = 32608, score = -464.9769076739716
episode: 349, env_step_num = 32712, score = -68.84427305835828
episode: 350, env_step_num = 32777, score = -117.41755114085504
episode: 351, env_step_num = 32878, score = -136.59415019640903
episode: 352, env_step_num = 32942, score = -68.71395232745755
episode: 353, env_step_num = 33030, score = -297.3132254959537
episode: 354, env_step_num = 33095, score = -85.01724416513372
episode: 355, env_step_num = 33207, score = -206.87477265906608
episode: 356, env_step_num = 33289, score = -93.61732941393106
episode: 357, env_step_num = 33412, score = -221.8032044191662
episode: 358, env_step_num = 33505, score = -137.75396629214347
episode: 359, env_step_num = 33635, score = -113.06599791762832
episode: 360, env_step_num = 33707, score = -76.19305264799343
episode: 361, env_step_num = 33812, score = -178.2831890256562
episode: 362, env_step_num = 33928, score = -243.00822805770585
episode: 363, env_step_num = 34033, score = -317.92705822970936
episode: 364, env_step_num = 34111, score = -207.68523690673817
episode: 365, env_step_num = 34183, score = -100.25504381534043
episode: 366, env_step_num = 34261, score = -58.23881681619716
episode: 367, env_step_num = 34357, score = -76.2186105527666
episode: 368, env_step_num = 34466, score = -295.82097946091176
episode: 369, env_step_num = 34584, score = -142.47257744971225
episode: 370, env_step_num = 34676, score = -127.6188856077201
episode: 371, env_step_num = 34751, score = -116.02308503271001
episode: 372, env_step_num = 34856, score = -202.54820369357597
episode: 373, env_step_num = 34927, score = -135.47440987346172
episode: 374, env_step_num = 35020, score = -189.9365978590697
episode: 375, env_step_num = 35094, score = -186.5819437846759
episode: 376, env_step_num = 35195, score = -281.1018862418667
episode: 377, env_step_num = 35262, score = -110.00740397126077
episode: 378, env_step_num = 35367, score = -252.6445547932826
episode: 379, env_step_num = 35432, score = -66.85440636491892
episode: 380, env_step_num = 35525, score = -147.02147214773782
episode: 381, env_step_num = 35629, score = -254.913859414052
episode: 382, env_step_num = 35705, score = -298.64433304296165
episode: 383, env_step_num = 35817, score = -408.4113190740513
episode: 384, env_step_num = 35883, score = -222.027805320148
episode: 385, env_step_num = 36000, score = -268.70099286166544
episode: 386, env_step_num = 36110, score = -151.51183621298563
episode: 387, env_step_num = 36186, score = -86.19341572082914
episode: 388, env_step_num = 36251, score = -189.77370591817294
episode: 389, env_step_num = 36366, score = -145.62370851288352
episode: 390, env_step_num = 36471, score = -93.29369493657798
episode: 391, env_step_num = 36534, score = -87.73421193238667
episode: 392, env_step_num = 36630, score = -355.25002111105323
episode: 393, env_step_num = 36697, score = -104.55177078863122
episode: 394, env_step_num = 36787, score = -93.79608779596238
episode: 395, env_step_num = 36878, score = -83.20694782442331
episode: 396, env_step_num = 36988, score = -154.43400234370702
episode: 397, env_step_num = 37091, score = -89.85292174043002
episode: 398, env_step_num = 37207, score = -101.03256766119628
episode: 399, env_step_num = 37300, score = -370.2458628890894
target network updated.
episode: 400, env_step_num = 37374, score = -87.12559887713235
episode: 401, env_step_num = 37503, score = -216.8073295523373
episode: 402, env_step_num = 37644, score = -172.61137796419462
episode: 403, env_step_num = 37780, score = -163.90225624103635
episode: 404, env_step_num = 37878, score = -391.4252886256381
episode: 405, env_step_num = 37961, score = -228.8302292358806
episode: 406, env_step_num = 38093, score = -45.537491667158946
episode: 407, env_step_num = 38187, score = -319.91132282586364
episode: 408, env_step_num = 38256, score = -114.9449467645222
episode: 409, env_step_num = 38405, score = -92.75456435444003
episode: 410, env_step_num = 38491, score = -87.90678146407666
episode: 411, env_step_num = 38593, score = 7.295973468238017
episode: 412, env_step_num = 38666, score = -58.04236135407478
