episode: 312, env_step_num = 29533, score = -307.9718501764994
episode: 313, env_step_num = 29652, score = -326.98659848055877
episode: 314, env_step_num = 29755, score = -194.69420385649488
episode: 315, env_step_num = 29845, score = -203.80023650829762
episode: 316, env_step_num = 29907, score = -109.3986893387046
episode: 317, env_step_num = 29977, score = -57.67146385110978
episode: 318, env_step_num = 30071, score = -79.44213277735281
episode: 319, env_step_num = 30184, score = -122.20662568490985
episode: 320, env_step_num = 30276, score = -140.9540330800416
episode: 321, env_step_num = 30379, score = -94.26657790864054
episode: 322, env_step_num = 30513, score = -247.6681437827722
episode: 323, env_step_num = 30618, score = -315.74824498077453
episode: 324, env_step_num = 30718, score = -141.85665530897626
episode: 325, env_step_num = 30851, score = 11.227008045595639
episode: 326, env_step_num = 30926, score = -174.04379294799503
episode: 327, env_step_num = 31052, score = -222.38090658000945
episode: 328, env_step_num = 31137, score = -416.6933249366374
episode: 329, env_step_num = 31231, score = -421.2860691193245
episode: 330, env_step_num = 31326, score = -341.69753979586426
episode: 331, env_step_num = 31411, score = -274.274679527173
episode: 332, env_step_num = 31513, score = -310.2273545301838
episode: 333, env_step_num = 31595, score = -213.63962143713678
episode: 334, env_step_num = 31694, score = -292.83445127943844
episode: 335, env_step_num = 31781, score = -229.52997771498556
episode: 336, env_step_num = 31862, score = -99.60299140681654
episode: 337, env_step_num = 31957, score = -302.59360167612476
episode: 338, env_step_num = 32062, score = -125.12303997593946
episode: 339, env_step_num = 32170, score = -279.97835223350666
episode: 340, env_step_num = 32230, score = -103.67913708500997
episode: 341, env_step_num = 32305, score = -136.9239288052092
episode: 342, env_step_num = 32394, score = -335.59127530620253
episode: 343, env_step_num = 32522, score = -169.3271021764707
episode: 344, env_step_num = 32599, score = -113.61882162261348
episode: 345, env_step_num = 32701, score = -210.86254802083926
episode: 346, env_step_num = 32789, score = -169.35304805846692
episode: 347, env_step_num = 32910, score = -260.4034012843854
episode: 348, env_step_num = 33003, score = -125.05841326834249
episode: 349, env_step_num = 33071, score = -79.89230728979884
episode: 350, env_step_num = 33190, score = -409.7279827118681
episode: 351, env_step_num = 33283, score = -116.3954129984021
episode: 352, env_step_num = 33386, score = -36.596802765707416
episode: 353, env_step_num = 33446, score = -83.4461923798195
episode: 354, env_step_num = 33530, score = -383.87448718899594
episode: 355, env_step_num = 33602, score = -69.43927715867531
episode: 356, env_step_num = 33692, score = -143.45085613806103
episode: 357, env_step_num = 33781, score = -180.80779419602487
episode: 358, env_step_num = 33859, score = -108.98361991229123
episode: 359, env_step_num = 33939, score = -98.29895177127229
episode: 360, env_step_num = 34026, score = -94.36828372594654
episode: 361, env_step_num = 34137, score = -358.69701076568
episode: 362, env_step_num = 34242, score = -55.80154219733776
episode: 363, env_step_num = 34320, score = -102.42100691304702
episode: 364, env_step_num = 34382, score = -82.07485593647009
episode: 365, env_step_num = 34497, score = -331.60142987443544
episode: 366, env_step_num = 34615, score = -99.69281446266066
episode: 367, env_step_num = 34715, score = -134.88082069385803
episode: 368, env_step_num = 34823, score = -294.87939976550217
episode: 369, env_step_num = 34891, score = -152.65895139947747
episode: 370, env_step_num = 34990, score = -172.41194668106084
episode: 371, env_step_num = 35064, score = -134.3925735434809
episode: 372, env_step_num = 35208, score = -331.25149827194855
episode: 373, env_step_num = 35296, score = -81.12362667172681
episode: 374, env_step_num = 35393, score = -388.7796172981738
episode: 375, env_step_num = 35509, score = -124.66972291781194
episode: 376, env_step_num = 35594, score = -345.20439910370715
episode: 377, env_step_num = 35730, score = -302.10085017347944
episode: 378, env_step_num = 35825, score = -252.36176117680608
episode: 379, env_step_num = 35923, score = -428.1497141065938
episode: 380, env_step_num = 36030, score = -360.7241917899556
